Level,Benchmark,SanRazor Removed Checks,Detected Disabled UBSan Checks,Removed READ Checks,Removed WRITE Checks,Removed UNKNOWN Checks,READ / Detected,WRITE / Detected,UNKNOWN / Detected,READ / SanRazor Removed,WRITE / SanRazor Removed,UNKNOWN / SanRazor Removed
L2,401.bzip2,7172,6700,1777,513,4410,26.52%,7.66%,65.82%,24.78%,7.15%,61.49%
L2,429.mcf,1130,1044,270,166,608,25.86%,15.90%,58.24%,23.89%,14.69%,53.81%
L2,433.milc,7311,6615,1101,313,5201,16.64%,4.73%,78.62%,15.06%,4.28%,71.14%
L2,444.namd,15734,11884,2369,1448,8067,19.93%,12.18%,67.88%,15.06%,9.20%,51.27%
L2,445.gobmk,40133,0,0,0,0,--,--,--,0.00%,0.00%,0.00%
L2,453.povray,53979,45497,12423,5259,27815,27.31%,11.56%,61.14%,23.01%,9.74%,51.53%
L2,456.hmmer,24959,22302,7987,1544,12771,35.81%,6.92%,57.26%,32.00%,6.19%,51.17%
L2,458.sjeng,6026,5563,843,225,4495,15.15%,4.04%,80.80%,13.99%,3.73%,74.59%
L2,462.libquantum,1169,984,264,28,692,26.83%,2.85%,70.33%,22.58%,2.40%,59.20%
L2,470.lbm,1002,928,381,64,483,41.06%,6.90%,52.05%,38.02%,6.39%,48.20%
L2,482.sphinx3,10093,9238,3202,478,5558,34.66%,5.17%,60.16%,31.72%,4.74%,55.07%
L2,TOTAL,168708,110755,30617,10038,70100,27.64%,9.06%,63.29%,18.15%,5.95%,41.55%
